all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
| GRB  781119|43831.394822916699923|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.394784722200711|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.393706018498051|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.394699074095115|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 106|
| GRB  781119|43831.393750000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 106|
| GRB 781121A|43833.065461805599625|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 107|
| GRB 781121A|43833.066392361099133|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 107|
| GRB 781121A|43833.065243055600149|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121A|43833.064583333296468|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121B|43833.250000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 108|
| GRB  781123|43835.670833333293558|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 109|
| GRB  781124|43836.162414351798361|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|43836.163521990696609|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|43836.162499999998545|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 110|
| GRB  781124|43836.161111111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 110|
| GRB  781207|43849.924305555599858|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 111|
| GRB  781217|43859.849247685197042|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 112|
| GRB  781217|43859.850966435202281|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 112|
| GRB  781229|43871.502777777801384|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 113|
| GRB  790101|43874.005206018497120|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 114|
| GRB  790101|43874.004861111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 114|
| GRB 790102A|43875.746527777802839|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 115|
| GRB 790102B|43875.940972222197161|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 116|
| GRB  790103|43876.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 117|
| GRB 790107A|43880.229166666700621|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 119|
| GRB 790107B|43880.233275462996971|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 120|
| GRB 790107B|43880.233276620398101|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 120|
| GRB  790113|43886.314557870398858|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|43886.316681712996797|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|43886.314791666700330|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 121|
| GRB  790113|43886.313888888893416|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 121|
| GRB  790116|43889.373611111099308|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 122|
| GRB 790119A|43892.598611111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 123|
| GRB  790131|43904.434027777802839|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 125|
| GRB  790208|43912.420138888897782|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 126|
| GRB  790211|43915.485729166699457|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 127|
| GRB  790211|43915.487500000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 127|
| GRB  790213|43917.540277777799929|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 128|
| GRB  790214|43918.500000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 129|
| GRB  790215|43919.717361111099308|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 130|
| GRB  790224|43928.909027777801384|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 131|
| GRB 790305A|43937.338262731500436|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 132|
| GRB 790305B|43937.660869213003025|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|43937.660929398094595|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|43937.661168981503579|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|43937.661087963002501|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 133|
| GRB 790305B|43937.659722222197161|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 133|
| GRB  790306|43938.261805555601313|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 134|
| GRB  790307|43939.927532407396939|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 135|
| GRB  790307|43939.929731481497583|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 135|
| GRB  790307|43939.928784722200362|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 135|
| GRB  790307|43939.926388888896327|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 135|
| GRB  790313|43945.726685185196402|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 136|
| GRB  790313|43945.724972222196811|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 136|
| GRB  790313|43945.726805555597821|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 136|
| GRB  790313|43945.725694444401597|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 136|
| GRB  790314|43946.528472222198616|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 137|
| GRB  790318|43950.977777777799929|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 138|
| GRB  790323|43955.985416666699166|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 139|
| GRB  790324|43956.670833333293558|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 140|
| GRB 790325A|43957.081250000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 141|
| GRB 790325B|43957.570194444400840|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 142|
| GRB 790325B|43957.570520833294722|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 142|
| GRB 790325B|43957.569444444401597|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 142|
| GRB 790327A|43959.437500000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 143|
| GRB 790327B|43959.685416666703532|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 144|
| GRB  790329|43961.937546296299843|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 145|
| GRB  790329|43961.935416666703532|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 145|
| GRB  790331|43963.876788194400433|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 146|
| GRB  790331|43963.881608796298678|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 146|
| GRB  790331|43963.876898148097098|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 146|
| GRB  790331|43963.876388888893416|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 146|
| GRB 790402A|43965.059722222198616|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 147|
| GRB 790402B|43965.404872685197915|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 148|
| GRB 790402B|43965.404872685197915|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 148|
| GRB 790402B|43965.402777777802839|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 148|
| GRB  790404|43967.029861111099308|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 149|
| GRB  790405|43968.157638888893416|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 150|
| GRB  790406|43969.486893518500437|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|43969.486989583296236|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|43969.491292824095581|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|43969.485937500001455|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 151|
| GRB  790406|43969.486805555599858|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 151|
| GRB 790412A|43975.533333333296468|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 152|
| GRB 790412B|43975.918356481502997|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 153|
| GRB 790412B|43975.918368055601604|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 153|
| GRB 790412B|43975.918749999997090|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 153|
| GRB  790415|43978.546527777798474|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 154|
| GRB  790418|43981.322717592600384|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 155|
| GRB  790418|43981.323032407402934|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 155|
| GRB  790418|43981.320143518496479|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 155|
| GRB  790418|43981.320509259297978|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 155|
| GRB  790418|43981.322222222202981|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 155|
| GRB 790419B|43982.676225694398454|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 157|
| GRB 790419B|43982.670659722200071|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 157|
| GRB 790419B|43982.670138888897782|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 157|
| GRB 790424A|43987.443055555602768|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 158|
| GRB 790424B|43987.768750000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 159|
| GRB 790430A|43993.836805555598403|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 160|
| GRB  790502|43995.181793981500959|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 162|
